Date,Order#,Type,SKU,Product Name,Size,QTY,Retail,Total,Current Price,Discount,Sub Total,Voucher,Grand Total,Month,day_of_month
2024-01-02,ORD-000015,Website-Online,SKU-000013,Iris Outer 010,S,1,358000,358000,268000,90000,268000,0,268000,2024-01-01,2
2024-01-02,ORD-000009,Website-Online,SKU-000007,Luna Jacket 005,L,1,412000,412000,308000,104000,308000,0,308000,2024-01-01,2
2024-01-02,ORD-000014,Website-Online,SKU-000012,Iris Outer 010,M,1,358000,358000,268000,90000,268000,0,268000,2024-01-01,2
2024-01-02,ORD-000012,Website-Online,SKU-000001,Orion Shirt 001,L,1,402000,402000,300000,102000,300000,0,300000,2024-01-01,2
2024-01-03,ORD-000017,Website-Online,SKU-000007,Luna Jacket 005,L,1,412000,412000,308000,104000,308000,0,308000,2024-01-01,3
2024-01-04,ORD-000028,Website-Online,SKU-000004,Orion Outer 004,L,1,327000,327000,187000,140000,187000,0,187000,2024-01-01,4
2024-01-04,ORD-000023,E-Commerce,SKU-000017,Sora Top 015,M,1,263000,263000,177000,86000,177000,0,177000,2024-01-01,4
2024-01-04,ORD-000026,Store,,Cedar Dress 016,,1,210000,210000,210000,0,210000,0,210000,2024-01-01,4
2024-01-05,ORD-000037,Website-Online,SKU-000002,Kairo Dress 002,L,1,320000,320000,182000,138000,182000,0,182000,2024-01-01,5
2024-01-05,ORD-000030,Website-Online,SKU-000004,Orion Outer 004,L,1,327000,327000,187000,140000,187000,0,187000,2024-01-01,5
2024-01-05,ORD-000040,Website-Online,SKU-000027,Orion Skirt 023,M,1,392000,392000,392000,0,392000,392000,0,2024-01-01,5
2024-01-05,ORD-000031,Store,,Sol Vest 003,,1,180000,180000,180000,0,180000,0,180000,2024-01-01,5
2024-01-05,ORD-000029,Website-Online,SKU-000004,Orion Outer 004,L,1,327000,327000,187000,140000,187000,0,187000,2024-01-01,5
2024-01-05,ORD-000033,Website-Online,SKU-000026,Raka Outer 022,XL,1,370000,370000,256000,114000,256000,0,256000,2024-01-01,5
2024-01-05,ORD-000038,Website-Online,SKU-000031,Nara Jacket 026,S,1,288000,288000,181000,107000,181000,0,181000,2024-01-01,5
2024-01-06,ORD-000057,Website-Online,SKU-000046,Raka Skirt 038,M,1,302000,302000,209000,93000,209000,0,209000,2024-01-01,6
2024-01-06,ORD-000052,Website-Online,SKU-000039,Iris Blouse 027,L,1,447000,447000,447000,0,447000,0,447000,2024-01-01,6
2024-01-06,ORD-000054,Website-Online,SKU-000042,Nara Dress 034,XL,1,352000,352000,222000,130000,222000,0,222000,2024-01-01,6
2024-01-06,ORD-000053,Website-Online,SKU-000040,Raven Skirt 014,M,1,361000,361000,228000,133000,228000,0,228000,2024-01-01,6
2024-01-07,ORD-000059,Website-Online,SKU-000048,Sol Pants 040,ALL SIZE,1,279000,279000,279000,0,279000,0,279000,2024-01-01,7
2024-01-07,ORD-000061,Website-Online,SKU-000049,Nova Dress 041,ALL SIZE,1,246000,246000,163000,83000,163000,0,163000,2024-01-01,7
2024-01-08,ORD-000072,Website-Online,SKU-000001,Orion Shirt 001,L,1,402000,402000,300000,102000,300000,0,300000,2024-01-01,8
2024-01-08,ORD-000071,Store,SKU-000018,Elara Blouse 054,M,1,385000,385000,288000,97000,288000,0,288000,2024-01-01,8
2024-01-08,ORD-000067,Store,SKU-000057,Kairo Jacket 050,S,1,321000,321000,183000,138000,183000,0,183000,2024-01-01,8
2024-01-08,ORD-000065,Store,SKU-000054,Elara Skirt 046,M,1,345000,345000,239000,106000,239000,0,239000,2024-01-01,8
2024-01-08,ORD-000076,Website-Online,SKU-000001,Orion Shirt 001,L,1,402000,402000,300000,102000,300000,0,300000,2024-01-01,8
2024-01-08,ORD-000074,Website-Online,SKU-000062,Cedar Vest 056,M,1,365000,365000,280000,85000,280000,0,280000,2024-01-01,8
2024-01-08,ORD-000065,Store,SKU-000055,Raka Vest 047,M,1,385000,385000,243000,142000,243000,0,243000,2024-01-01,8
2024-01-09,ORD-000082,Store,SKU-000066,Raka Outer 060,XL,1,471000,471000,471000,0,471000,0,471000,2024-01-01,9
2024-01-09,ORD-000081,Store,SKU-000065,Vela Jacket 059,S,1,325000,325000,225000,100000,225000,0,225000,2024-01-01,9
2024-01-09,ORD-000080,Store,SKU-000064,Luna Skirt 058,ALL SIZE,1,545000,545000,545000,0,545000,0,545000,2024-01-01,9
2024-01-10,ORD-000086,E-Commerce,SKU-000072,Alya Vest 065,M,1,339000,339000,235000,104000,235000,0,235000,2024-01-01,10
2024-01-10,ORD-000085,Store,SKU-000059,Vela Pants 052,S,1,447000,447000,281000,166000,281000,0,281000,2024-01-01,10
2024-01-10,ORD-000086,E-Commerce,SKU-000070,Kairo Pants 063,,1,416000,416000,416000,0,416000,0,416000,2024-01-01,10
2024-01-11,ORD-000087,Store,SKU-000073,Raka Shirt 066,ALL SIZE,1,494000,494000,494000,0,494000,0,494000,2024-01-01,11
2024-01-11,ORD-000088,Store,SKU-000076,Orion Top 069,M,1,261000,261000,176000,85000,176000,0,176000,2024-01-01,11
2024-01-12,ORD-000098,Website-Online,SKU-000082,Nara Vest 071,M,1,388000,388000,388000,0,388000,388000,0,2024-01-01,12
2024-01-12,ORD-000095,Website-Online,SKU-000079,Aster Jacket 072,L,1,506000,506000,422000,84000,422000,0,422000,2024-01-01,12
2024-01-12,ORD-000102,Website-Online,SKU-000087,Sol Jacket 077,ALL SIZE,1,275000,275000,275000,0,275000,0,275000,2024-01-01,12
2024-01-13,ORD-000110,Website-Online,SKU-000092,Kairo Blouse 035,L,1,375000,375000,375000,0,375000,0,375000,2024-01-01,13
2024-01-13,ORD-000103,Store,SKU-000090,Cedar Vest 080,S-M,1,534000,534000,426000,108000,426000,0,426000,2024-01-01,13
2024-01-13,ORD-000111,Website-Online,SKU-000094,Aster Jacket 072,M,1,506000,506000,422000,84000,422000,0,422000,2024-01-01,13
2024-01-14,ORD-000115,Website-Online,SKU-000024,Vela Pants 085,L,1,337000,337000,209000,128000,209000,0,209000,2024-01-01,14
2024-01-14,ORD-000117,Store,SKU-000099,Raka Blouse 087,S,1,345000,345000,240000,105000,240000,0,240000,2024-01-01,14
2024-01-15,ORD-000123,Website-Online,SKU-000061,Nova Blouse 055,L,1,348000,348000,348000,0,348000,0,348000,2024-01-01,15
2024-01-15,ORD-000122,Website-Online,SKU-000100,Sol Dress 088,L,1,336000,336000,212000,124000,212000,0,212000,2024-01-01,15
2024-01-17,ORD-000132,Website-Online,SKU-000106,Iris Blouse 027,XL,1,447000,447000,447000,0,447000,0,447000,2024-01-01,17
2024-01-17,ORD-000140,Store,SKU-000113,Elara Skirt 101,L,1,157000,157000,157000,0,157000,0,157000,2024-01-01,17
2024-01-17,ORD-000132,Website-Online,SKU-000078,Nara Vest 071,XL,1,388000,388000,388000,0,388000,0,388000,2024-01-01,17
2024-01-17,ORD-000139,Store,SKU-000112,Cedar Jacket 099,M,1,338000,338000,210000,128000,210000,0,210000,2024-01-01,17
2024-01-18,ORD-000144,Store,SKU-000115,Orion Skirt 103,M,1,365000,365000,253000,112000,253000,0,253000,2024-01-01,18
2024-01-18,ORD-000144,Store,SKU-000091,Elara Outer 081,L,1,282000,282000,190000,92000,190000,0,190000,2024-01-01,18
2024-01-18,ORD-000141,Store,,Raka Pants 032,,1,332000,332000,332000,0,332000,0,332000,2024-01-01,18
